Date,close,high,low,open,volume,ticker,normalized_close,daily_return,log_ret,sma_10,sma_60,dist_sma_60,rsi,volatility
2016-03-30,108.16000366210938,109.12000274658203,106.55999755859375,108.31999969482422,0.2908515704732564,UNG,79.24971208090736,0.005952446419502655,0.19580458492027306,105.34400024414063,115.20533332824706,-0.45170507498361245,0.8654150598063607,-0.2511504652982354
2016-03-31,106.55999755859375,109.91999816894531,104.80000305175781,109.12000274658203,-0.24040550349997553,UNG,78.07737462955677,-0.014792955337853186,-0.4504487101377283,105.44000015258788,114.70666669209798,-0.5275798763413447,0.4339852928981033,-0.4135448598563057
2016-04-01,105.76000213623047,106.55999755859375,104.4800033569336,105.91999816894531,-0.8857886351559384,UNG,77.49121149400075,-0.007507464721209223,-0.22195634123237828,105.08800048828125,114.16533330281575,-0.5475915693852077,0.3270576310574279,-0.45720923201405334
2016-04-04,109.12000274658203,112.4800033569336,107.68000030517578,108.95999908447266,-0.5402620115573739,UNG,79.95311119764615,0.0317700505151608,0.9817011495069756,105.31200103759765,113.72533327738444,-0.29284327140294714,0.5934159991721912,-0.43166976767143794
2016-04-05,105.76000213623047,107.68000030517578,104.80000305175781,107.68000030517578,-0.4473815481506974,UNG,77.49121149400075,-0.030791793674664336,-0.9582017848482232,105.61600112915039,113.12266667683919,-0.48193380798252067,0.10314981143991,-0.36412268201990117
2016-04-06,103.19999694824219,104.63999938964844,102.87999725341797,104.0,-0.4954991561524651,UNG,75.61547492591136,-0.02420579743077833,-0.7481752105083151,105.4240005493164,112.38666661580403,-0.6100112908722756,-0.16830586079571522,-0.306577654761829
2016-04-07,109.5999984741211,109.76000213623047,105.5999984741211,106.08000183105469,-0.16209746646791479,UNG,80.30480796095593,0.062015520495496634,1.877745692146526,106.30400009155274,111.85599988301595,-0.13654162451390298,0.0573461045005229,-0.1112450694720909
2016-04-08,107.83999633789062,109.5999984741211,107.68000030517578,109.12000274658203,0.08486366573838078,UNG,79.01524011854183,-0.016058413875307154,-0.49030902601125,106.8479995727539,111.41599973042806,-0.22825654886040647,0.10837706028517811,-0.12721044923965927
2016-04-11,104.31999969482422,104.63999938964844,103.36000061035156,104.0,-0.42666343069804835,UNG,76.43611002383291,-0.032640919534504986,-1.0174268117550738,106.78399963378907,110.90133310953776,-0.4377830622559508,0.1611526619977361,-0.044788466884125105
2016-04-12,109.5999984741211,110.23999786376953,105.91999816894531,106.55999755859375,-0.23973971053176593,UNG,80.30480796095593,0.050613485379053635,1.542984884754453,106.99199981689453,110.60533307393392,-0.05134549770165373,0.36706406136540604,0.10077625718513122
